nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Device: cuda
Loaded V4 NN: obs_dim=8, act_dim=3, hidden=(64, 64)
High-level: obs_dim=13, act_dim=2
[ 1850] MISSED | Steps=  14 | Reward=  13.96 | Rate= 46.0% | AvgR=  97.03 | LR=7.19e-05
[ 1860] MISSED | Steps=   4 | Reward= -22.11 | Rate= 43.0% | AvgR=  91.27 | LR=7.16e-05
[ 1870] MISSED | Steps=   1 | Reward= -30.00 | Rate= 39.0% | AvgR=  84.49 | LR=skip
[ 1880] CAUGHT | Steps=  22 | Reward= 220.58 | Rate= 42.0% | AvgR=  89.90 | LR=7.11e-05
[ 1890] MISSED | Steps=  51 | Reward=  82.51 | Rate= 43.0% | AvgR=  92.54 | LR=7.08e-05
[ 1900] CAUGHT | Steps=  62 | Reward= 267.19 | Rate= 43.0% | AvgR=  93.88 | LR=7.06e-05
[ 1910] CAUGHT | Steps=  44 | Reward= 230.46 | Rate= 44.0% | AvgR=  97.34 | LR=7.03e-05
[ 1920] MISSED | Steps=  20 | Reward=  14.64 | Rate= 47.0% | AvgR= 104.72 | LR=7.00e-05
[ 1930] MISSED | Steps=   2 | Reward= -33.15 | Rate= 48.0% | AvgR= 106.87 | LR=6.97e-05
[ 1940] MISSED | Steps=  33 | Reward=   4.98 | Rate= 46.0% | AvgR= 101.09 | LR=6.95e-05
[ 1950] MISSED | Steps=   4 | Reward= -23.66 | Rate= 43.0% | AvgR=  93.28 | LR=6.92e-05
[ 1960] MISSED | Steps=  29 | Reward=  39.75 | Rate= 43.0% | AvgR=  93.22 | LR=6.90e-05
[ 1970] MISSED | Steps=  30 | Reward=  52.53 | Rate= 45.0% | AvgR=  96.62 | LR=6.87e-05
[ 1980] CAUGHT | Steps=  54 | Reward= 244.85 | Rate= 44.0% | AvgR=  96.45 | LR=6.84e-05
[ 1990] CAUGHT | Steps=  27 | Reward= 194.13 | Rate= 45.0% | AvgR=  97.43 | LR=6.81e-05
[ 2000] CAUGHT | Steps=  55 | Reward= 246.21 | Rate= 45.0% | AvgR=  97.36 | LR=6.78e-05
[ 2010] MISSED | Steps=  31 | Reward=  35.20 | Rate= 46.0% | AvgR=  98.94 | LR=6.75e-05
[ 2020] MISSED | Steps=  10 | Reward= -12.40 | Rate= 44.0% | AvgR=  94.72 | LR=6.72e-05
[ 2030] CAUGHT | Steps=  44 | Reward= 257.69 | Rate= 45.0% | AvgR=  97.37 | LR=6.69e-05
[ 2040] MISSED | Steps=  10 | Reward= -29.53 | Rate= 45.0% | AvgR=  98.52 | LR=6.67e-05
[ 2050] CAUGHT | Steps=  46 | Reward= 212.09 | Rate= 47.0% | AvgR= 103.66 | LR=6.64e-05
[ 2060] MISSED | Steps=  26 | Reward=   9.42 | Rate= 49.0% | AvgR= 108.82 | LR=6.61e-05
[ 2070] CAUGHT | Steps=  40 | Reward= 242.75 | Rate= 51.0% | AvgR= 113.34 | LR=6.58e-05
[ 2080] CAUGHT | Steps=  58 | Reward= 239.98 | Rate= 51.0% | AvgR= 111.89 | LR=6.55e-05
[ 2090] CAUGHT | Steps=  45 | Reward= 204.74 | Rate= 49.0% | AvgR= 108.09 | LR=6.52e-05
[ 2100] MISSED | Steps=   2 | Reward= -33.23 | Rate= 49.0% | AvgR= 107.33 | LR=6.49e-05
