Episode,Captured,Steps,Reward,CaptureRate,LR
435,0,8,-23.54,52.0,9.83e-05
436,0,10,6.58,51.0,9.82e-05
437,1,71,221.86,51.0,9.82e-05
438,1,77,209.30,52.0,9.82e-05
439,1,48,237.73,52.0,9.82e-05
440,1,52,228.93,53.0,9.82e-05
441,1,77,211.00,53.0,9.82e-05
442,1,43,206.28,53.0,9.82e-05
443,0,25,29.17,52.0,9.82e-05
444,0,18,-31.62,51.0,9.82e-05
445,0,3,-28.92,50.0,9.82e-05
446,1,43,212.41,50.0,9.82e-05
447,1,37,211.54,50.0,9.82e-05
449,0,47,40.24,49.0,9.81e-05
450,1,47,252.89,49.0,9.81e-05
451,1,55,192.92,50.0,9.81e-05
452,0,42,72.69,50.0,9.81e-05
453,0,26,42.32,49.0,9.81e-05
454,0,46,58.86,49.0,9.81e-05
455,0,40,35.33,48.0,9.81e-05
456,1,41,222.01,48.0,9.81e-05
457,1,45,223.21,48.0,9.81e-05
458,0,5,-30.90,47.0,9.81e-05
459,0,4,-28.77,47.0,9.81e-05
460,0,45,14.76,47.0,9.81e-05
461,0,24,15.46,46.0,9.80e-05
462,1,56,205.07,46.0,9.80e-05
463,1,40,228.64,47.0,9.80e-05
464,1,48,205.21,47.0,9.80e-05
465,0,10,-3.84,46.0,9.80e-05
466,1,58,233.83,47.0,9.80e-05
467,0,19,-28.59,47.0,9.80e-05
468,1,37,221.99,48.0,9.80e-05
469,1,60,206.06,49.0,9.80e-05
470,0,3,-28.46,49.0,9.80e-05
471,1,65,190.61,50.0,9.80e-05
472,1,48,205.38,50.0,9.79e-05
473,1,38,218.44,51.0,9.79e-05
474,1,63,193.02,52.0,9.79e-05
475,0,20,-16.47,52.0,9.79e-05
476,0,31,56.10,51.0,9.79e-05
477,1,42,226.84,52.0,9.79e-05
478,1,75,234.49,53.0,9.79e-05
479,1,78,222.32,54.0,9.79e-05
480,0,48,47.83,54.0,9.79e-05
481,1,25,219.43,54.0,9.79e-05
482,0,9,-14.46,53.0,9.79e-05
483,0,21,3.74,53.0,9.78e-05
484,1,44,225.21,53.0,9.78e-05
485,0,2,-27.78,53.0,9.78e-05
486,0,12,-14.47,52.0,9.78e-05
488,0,33,54.41,51.0,9.78e-05
489,1,25,214.13,51.0,9.78e-05
490,0,23,-5.38,51.0,9.78e-05
491,1,32,196.55,51.0,9.78e-05
492,1,44,240.76,51.0,9.78e-05
493,1,28,217.62,52.0,9.78e-05
494,1,44,247.55,53.0,9.78e-05
495,0,11,-4.96,52.0,9.77e-05
496,1,29,208.86,52.0,9.77e-05
497,0,20,5.52,52.0,9.77e-05
498,1,53,238.88,53.0,9.77e-05
499,0,58,61.67,52.0,9.77e-05
500,1,55,214.04,53.0,9.77e-05
501,0,28,31.19,52.0,9.77e-05
502,1,60,229.97,52.0,9.77e-05
503,0,46,52.77,52.0,9.77e-05
504,0,14,-20.45,52.0,9.77e-05
505,0,2,-33.77,52.0,9.77e-05
506,0,12,12.00,51.0,9.76e-05
507,0,4,-34.95,50.0,9.76e-05
508,0,14,-20.45,49.0,9.76e-05
509,1,37,225.38,49.0,9.76e-05
510,0,4,-24.12,49.0,9.76e-05
511,1,31,217.07,50.0,9.76e-05
512,0,14,-30.65,49.0,9.76e-05
513,1,38,236.13,49.0,9.76e-05
514,1,37,200.83,49.0,9.76e-05
515,0,45,15.28,49.0,9.76e-05
516,0,9,-7.39,48.0,9.75e-05
517,1,57,235.51,49.0,9.75e-05
518,1,40,242.50,50.0,9.75e-05
519,1,47,237.71,51.0,9.75e-05
520,0,19,9.24,50.0,9.75e-05
521,1,45,210.68,51.0,9.75e-05
522,1,52,234.37,52.0,9.75e-05
524,0,17,-9.28,51.0,9.75e-05
525,0,25,-24.01,50.0,9.75e-05
526,1,64,246.59,50.0,9.75e-05
527,1,36,217.83,51.0,9.75e-05
528,1,64,231.18,52.0,9.74e-05
530,1,80,191.37,52.0,9.74e-05
531,0,18,-23.50,51.0,9.74e-05
532,0,3,-22.37,50.0,9.74e-05
533,1,50,231.40,51.0,9.74e-05
534,1,73,191.67,51.0,9.74e-05
535,0,2,-31.70,51.0,9.74e-05
536,0,40,-10.06,51.0,9.74e-05
537,1,41,191.19,51.0,9.74e-05
538,1,54,241.25,51.0,9.74e-05
539,1,32,216.90,51.0,9.73e-05
540,1,54,246.58,51.0,9.73e-05
541,1,86,198.07,51.0,9.73e-05
542,1,42,213.26,51.0,9.73e-05
543,1,44,222.18,52.0,9.73e-05
544,1,36,197.81,53.0,9.73e-05
545,0,30,-45.85,53.0,9.73e-05
546,1,52,237.97,53.0,9.73e-05
548,0,27,28.36,52.0,9.73e-05
549,0,2,-26.40,52.0,9.73e-05
550,1,35,200.07,52.0,9.72e-05
551,1,58,236.95,52.0,9.72e-05
552,1,67,216.05,53.0,9.72e-05
553,0,2,-32.02,53.0,9.72e-05
554,1,64,227.94,54.0,9.72e-05
555,1,55,272.31,55.0,9.72e-05
556,1,51,233.03,55.0,9.72e-05
557,0,21,24.87,54.0,9.72e-05
558,1,27,226.12,55.0,9.72e-05
559,1,58,209.00,56.0,9.71e-05
560,0,69,28.82,56.0,9.71e-05
561,0,11,-17.48,56.0,9.71e-05
562,1,66,213.13,56.0,9.71e-05
563,0,28,50.59,55.0,9.71e-05
564,1,64,202.57,55.0,9.71e-05
565,0,15,17.11,55.0,9.71e-05
567,0,23,32.87,54.0,9.71e-05
